base,k,size,target_alpha,target_sum,objective,model_path,solution_path,generate_model_cmd,score_solution_cmd
55,4,21,0.7597377850,4.43975,cardinality,models/cyclic_b55_k4_s21_cardinality.opb,solver_outputs/cyclic_b55_k4_s21_cardinality.sol,python src/cyclic_pb_encoder.py --base 55 --k 4 --min-size 21 --max-size 21 --objective cardinality --output models/cyclic_b55_k4_s21_cardinality.opb,python src/score_pb_solution.py --base 55 --k 4 --solution solver_outputs/cyclic_b55_k4_s21_cardinality.sol --target 4.43975
55,4,22,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b55_k4_s22_harmonic_proxy.opb,solver_outputs/cyclic_b55_k4_s22_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 55 --k 4 --min-size 22 --max-size 22 --objective harmonic_proxy --output models/cyclic_b55_k4_s22_harmonic_proxy.opb,python src/score_pb_solution.py --base 55 --k 4 --solution solver_outputs/cyclic_b55_k4_s22_harmonic_proxy.sol --target 4.43975
55,4,22,0.7597377850,4.43975,low_digit,models/cyclic_b55_k4_s22_low_digit.opb,solver_outputs/cyclic_b55_k4_s22_low_digit.sol,python src/cyclic_pb_encoder.py --base 55 --k 4 --min-size 22 --max-size 22 --objective low_digit --output models/cyclic_b55_k4_s22_low_digit.opb,python src/score_pb_solution.py --base 55 --k 4 --solution solver_outputs/cyclic_b55_k4_s22_low_digit.sol --target 4.43975
55,4,22,0.7597377850,4.43975,cardinality,models/cyclic_b55_k4_s22_cardinality.opb,solver_outputs/cyclic_b55_k4_s22_cardinality.sol,python src/cyclic_pb_encoder.py --base 55 --k 4 --min-size 22 --max-size 22 --objective cardinality --output models/cyclic_b55_k4_s22_cardinality.opb,python src/score_pb_solution.py --base 55 --k 4 --solution solver_outputs/cyclic_b55_k4_s22_cardinality.sol --target 4.43975
65,4,23,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b65_k4_s23_harmonic_proxy.opb,solver_outputs/cyclic_b65_k4_s23_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 23 --max-size 23 --objective harmonic_proxy --output models/cyclic_b65_k4_s23_harmonic_proxy.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s23_harmonic_proxy.sol --target 4.43975
65,4,23,0.7597377850,4.43975,low_digit,models/cyclic_b65_k4_s23_low_digit.opb,solver_outputs/cyclic_b65_k4_s23_low_digit.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 23 --max-size 23 --objective low_digit --output models/cyclic_b65_k4_s23_low_digit.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s23_low_digit.sol --target 4.43975
65,4,23,0.7597377850,4.43975,cardinality,models/cyclic_b65_k4_s23_cardinality.opb,solver_outputs/cyclic_b65_k4_s23_cardinality.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 23 --max-size 23 --objective cardinality --output models/cyclic_b65_k4_s23_cardinality.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s23_cardinality.sol --target 4.43975
65,4,24,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b65_k4_s24_harmonic_proxy.opb,solver_outputs/cyclic_b65_k4_s24_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 24 --max-size 24 --objective harmonic_proxy --output models/cyclic_b65_k4_s24_harmonic_proxy.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s24_harmonic_proxy.sol --target 4.43975
65,4,24,0.7597377850,4.43975,low_digit,models/cyclic_b65_k4_s24_low_digit.opb,solver_outputs/cyclic_b65_k4_s24_low_digit.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 24 --max-size 24 --objective low_digit --output models/cyclic_b65_k4_s24_low_digit.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s24_low_digit.sol --target 4.43975
65,4,24,0.7597377850,4.43975,cardinality,models/cyclic_b65_k4_s24_cardinality.opb,solver_outputs/cyclic_b65_k4_s24_cardinality.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 24 --max-size 24 --objective cardinality --output models/cyclic_b65_k4_s24_cardinality.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s24_cardinality.sol --target 4.43975
65,4,25,0.7597377850,4.43975,harmonic_proxy,models/cyclic_b65_k4_s25_harmonic_proxy.opb,solver_outputs/cyclic_b65_k4_s25_harmonic_proxy.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 25 --max-size 25 --objective harmonic_proxy --output models/cyclic_b65_k4_s25_harmonic_proxy.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s25_harmonic_proxy.sol --target 4.43975
65,4,25,0.7597377850,4.43975,low_digit,models/cyclic_b65_k4_s25_low_digit.opb,solver_outputs/cyclic_b65_k4_s25_low_digit.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 25 --max-size 25 --objective low_digit --output models/cyclic_b65_k4_s25_low_digit.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s25_low_digit.sol --target 4.43975
65,4,25,0.7597377850,4.43975,cardinality,models/cyclic_b65_k4_s25_cardinality.opb,solver_outputs/cyclic_b65_k4_s25_cardinality.sol,python src/cyclic_pb_encoder.py --base 65 --k 4 --min-size 25 --max-size 25 --objective cardinality --output models/cyclic_b65_k4_s25_cardinality.opb,python src/score_pb_solution.py --base 65 --k 4 --solution solver_outputs/cyclic_b65_k4_s25_cardinality.sol --target 4.43975
