base,k,radius,size,alpha,start_score,best_score,improved,total_neighbors,ap_free_neighbors,scored_neighbors,best_remove,best_add,best_digits
55,4,1,21,0.759737784954561,4.4397533692541185,4.4397533692541185,0,680,0,0,,,"0 1 2 4 5 9 10 11 14 16 17 18 21 24 30 37 39 41 42 45 47"
55,4,2,21,0.759737784954561,4.4397533692541185,4.4397533692541185,0,106590,0,0,,,"0 1 2 4 5 9 10 11 14 16 17 18 21 24 30 37 39 41 42 45 47"
